"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"1194",NA,118.297128440367,118.47,107.26,135.85,116.52,120.97
"1195",NA,113.270374337005,113.53,104.91,125.43,111.44,115.32
"1196",NA,111.703538822091,109.975,101.2,143.47,107.73,113.7175
"1197",NA,109.62959918409,109,99.95,132.34,107.18,112.03
"1198",NA,106.691368592683,106.09,94.32,126.2,105.05,107.78
"1199",NA,108.786605158528,104.34,93.84,148.5,100.84,115.9
"1200",NA,127.703731282469,132.65,95.67,167.12,111.2,141.97
"1201",NA,149.884254560277,152.79,95.73,180.9,142.08,160.8
"1202",NA,159.406042197533,158.64,123.86,199.03,147.475,171.38
"1203",NA,149.791789098319,149.65,118.05,180.69,143.305,156.31
"1204",NA,111.821418678073,104.61,99.68,149.25,102.7,121.43
"1205",NA,103.723142070934,103.6,101.19,110.44,103.2,104.24
"1206",NA,116.206280040733,112.62,101.59,149.78,106.89,123.315
"1207",NA,121.586986859529,119.54,104.75,145.44,111.54,131.06
"1208",NA,122.3865787598,121,104.97,162.41,114.2,128.6
"1209",NA,156.303346913832,156.835,123.21,195.83,144.5325,168.04
"1210",NA,147.368127226463,147.18,121.34,188.15,140.5,152.91
"1211",NA,153.155427319955,152.54,120,190.87,145.02,160.57
"1212",NA,151.199807692308,149.9,120.89,187.81,143.4275,157.965
"1213",NA,161.357634660422,159.6,125.2,208.08,148.04,174.29
"1214",NA,168.795289508497,167.28,138.16,214.44,152.855,180.19
"1215",NA,173.047236096537,173.765,133.71,207.02,167.27,181.21
"1216",NA,155.330918432884,157.92,121.25,196.7,139.88,171.51
"1221",NA,18.5261737949762,6.35,-2.53,79.27,0.14,37.43
"1222",NA,43.2408138001015,46.13,-1.23,78.6,33.07,56.34
"1223",NA,48.2456107219007,47.14,24.04,79.91,40.27,56.52
"1224",NA,40.9083802173251,40.81,14.98,82.51,28.91,50.845
"1225",NA,31.1657257491112,29.05,12.38,66.83,19.38,40.54
"1226",NA,29.5931611003959,25.56,12.48,88.01,17.58,33.495
"1227",NA,33.6270602581039,34.32,13.38,87.05,28.46,41.02
"1228",NA,46.1285300690776,47.18,14.65,72.88,40.55,52.51
